"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"157",158,"571091","Virginia",37.4925,-76.2736,"1987-08-02","1987-06-29",37
"159",160,"571093","Virginia",36.8581,-75.9781,"1987-08-06","1987-07-18",37
"160",161,"571094","Virginia",36.9133,-76.0711,"1987-08-06","1987-07-14",37
"161",162,"571095","Virginia",36.78,-75.95,"1987-08-07","1987-07-20",37
"162",163,"571096","Virginia",36.8517,-75.9756,"1987-08-08","1987-07-24",37
"163",164,"571097","Virginia",36.7033,-75.9267,"1987-08-07","1987-07-16",37
"164",165,"571098","Virginia",36.92,-76.17,"1987-08-08","1987-07-17",37
"166",167,"571100","Virginia",36.92,-76.17,"1987-08-08","1987-07-12",37
"168",169,"571102","Virginia",36.8856,-75.985,"1987-08-09","1987-07-09",37
"169",170,"571103","Virginia",36.9683,-76.2778,"1987-08-07","1987-07-17",37
"171",172,"571105","Virginia",37.2103,-76.0139,"1987-08-10","1987-07-23",37
"172",173,"571106","Virginia",36.8628,-75.98,"1987-08-11","1987-07-21",37
"173",174,"571107","Virginia",36.7236,-75.94,"1987-08-11","1987-07-12",37
"174",175,"571108","Virginia",36.85,-75.975,"1987-08-11","1987-07-07",37
"179",180,"571113","Virginia",36.8747,-75.9822,"1987-08-13","1987-07-24",37
"180",181,"571114","Virginia",36.9111,-76.1033,"1987-08-13","1987-07-23",37
"181",182,"571115","Virginia",36.93,-76.03,"1987-08-13","1987-07-22",37
"182",183,"571116","Virginia",36.8667,-75.9794,"1987-08-14","1987-07-31",37
"183",184,"571117","Virginia",36.9142,-76.1286,"1987-08-14","1987-07-29",37
"184",185,"571118","Virginia",35.9147,-76.1292,"1987-08-14","1987-07-24",36
"186",187,"571120","Virginia",36.63,-75.88,"1987-08-11","1987-07-24",37
"187",188,"571121","Virginia",36.97,-76.37,"1987-08-15","1987-07-28",37
"189",190,"571123","Virginia",36.92,-76.37,"1987-08-14","1987-07-22",37
"191",192,"571125","Virginia",36.6975,-75.9494,"1987-08-20","1987-08-01",37
"192",193,"571126","North Carolina",36.5,-75.8569,"1987-08-21","1987-08-04",36
"193",194,"571127","North Carolina",36.52,-75.83,"1987-08-21","1987-08-03",37
"194",195,"571128","Virginia",36.9181,-76.1261,"1987-08-23","1987-07-24",37
"195",196,"571129","Virginia",36.93,-76.17,"1987-08-23","1987-07-24",37
