"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"744",8616,"Full","SE-2013-1153275","SC",32.39283,"Ð80.432688","2013-12-01","2013-11-15","MALE","SUBADULT",32
"745",8617,"Full","SE-2013-1153276","SC",32.31527,"Ð80.47666","2013-12-04","2013-10-28","UNKNOWN","SUBADULT",32
"746",8618,"Full","SE-2013-1153277","SC",32.55258,"Ð80.18559","2013-12-05","2013-11-07","FEMALE","SUBADULT",33
"748",8622,"Full","SE-2014-1157979","NC",36.01017,"Ð76.57702","2014-06-28","2014-06-02","MALE","ADULT",36
"749",8623,"Full","SE-2014-1157980","NC",35.9728,"Ð76.26147","2014-06-29","2014-06-04","MALE","ADULT",36
"750",8625,"Full","NE-2014-1158258","DE",38.662974,"Ð75.067134","2014-06-13","2014-05-20","MALE","YEARLING",39
"751",8628,"Full","SE-2014-1158288","GA",31.62142,"Ð81.1359","2014-07-07","2014-06-15","UNKNOWN","ADULT",32
"752",8631,"Full","SE-2013-1150369","NC",35.981,"Ð75.636","2013-08-29","2013-08-15","FEMALE","ADULT",36
"753",8635,"Full","NE-2013-1152751","VA",37.09643,"Ð75.98043","2013-11-03","2013-10-13","FEMALE","UNKNOWN",37
"754",8637,"Full","NE-2013-1152753","VA",36.850431,"Ð75.973731","2013-11-06","2013-10-16","MALE","UNKNOWN",37
"755",8639,"Full","NE-2013-1152755","VA",36.60636,"Ð75.88121","2013-11-09","2013-10-17","MALE","UNKNOWN",37
"756",8642,"Full","NE-2013-1152758","VA",36.62529,"Ð75.88877","2013-11-09","2013-10-14","FEMALE","UNKNOWN",37
"758",8649,"Full","SE-2014-1154863","NC",36.07746,"Ð75.79287","2014-01-09","2013-12-12","MALE","ADULT",36
"759",8650,"Full","NE-2013-1154866","MD",38.254972,"Ð75.127888","2013-10-17","2013-09-10","UNKNOWN","SUBADULT",38
"760",8652,"Full","NE-2013-1154868","MD",38.29411,"Ð75.111416","2013-10-17","2013-09-16","UNKNOWN","UNKNOWN",38
"761",8653,"Full","NE-2013-1154869","MD",38.294111,"Ð75.111416","2013-10-17","2013-09-17","UNKNOWN","UNKNOWN",38
"762",8655,"Full","NE-2013-1152186","NJ",39.200672,"Ð74.65099","2013-10-06","2013-08-31","UNKNOWN","ADULT",39
"763",8656,"Full","NE-2013-1152187","NJ",40.008735,"Ð74.056864","2013-10-06","2013-09-06","UNKNOWN","ADULT",40
"765",8658,"Full","NE-2013-1152189","NJ",39.558169,"Ð74.23805","2013-10-10","2013-09-03","UNKNOWN","SUBADULT",40
"766",8659,"Full","NE-2013-1152190","NJ",40.06609,"Ð74.042924","2013-10-10","2013-09-14","MALE","ADULT",40
"767",8660,"Full","NE-2013-1152191","NJ",39.026195,"Ð74.943964","2013-10-10","2013-09-15","MALE","SUBADULT",39
"768",8664,"Full","SE-2013-1153280","NC",34.49817,"Ð77.40689","2013-12-15","2013-11-18","FEMALE","PUP/CALF",34
"770",8666,"Full","SE-2013-1153339","SC",32.546621,"Ð80.171452","2013-11-02","2013-10-08","UNKNOWN","SUBADULT",33
"771",8667,"Full","SE-2013-1153340","SC",32.54166,"Ð80.07133","2013-11-07","2013-10-21","UNKNOWN","ADULT",33
"773",8669,"Full","SE-2013-1153342","SC",32.135593,"Ð80.835347","2013-12-06","2013-11-16","FEMALE","ADULT",32
"774",8670,"Full","SE-2013-1153343","SC",32.16166,"Ð80.72027","2013-12-07","2013-11-11","FEMALE","ADULT",32
"775",8671,"Full","SE-2013-1153344","SC",32.45125,"Ð80.805211","2013-12-08","2013-11-17","FEMALE","YEARLING",32
"776",8674,"Full","NE-2014-1157890","NY",40.5846,"Ð73.7202","2014-06-18","2014-05-19","MALE","ADULT",41
"777",8676,"Full","NE-2014-1158289","VA",37.00239,"Ð76.30357","2014-06-22","2014-06-01","FEMALE","UNKNOWN",37
"778",8677,"Full","NE-2014-1158290","VA",36.695577,"Ð75.924021","2014-06-29","2014-05-31","UNKNOWN","UNKNOWN",37
"779",8678,"Full","NE-2014-1158291","VA",37.16225,"Ð76.37097","2014-06-22","2014-05-16","MALE","UNKNOWN",37
"780",8679,"Full","NE-2014-1158292","VA",37.548267,"Ð76.282533","2014-06-28","2014-06-08","MALE","UNKNOWN",38
"781",8692,"Full","NE-2013-1150281","MD",38.1519,"Ð75.171","2013-08-20","2013-07-31","UNKNOWN","UNKNOWN",38
"782",8693,"Full","NE-2013-1151112","NJ",39.050672,"Ð74.927923","2013-08-15","2013-07-31","MALE","ADULT",39
"783",8701,"Full","NE-2013-1149376","NJ",40.427503,"Ð73.982888","2013-07-17","2013-06-23","MALE","ADULT",40
"784",8702,"Full","SE-2013-1152969","NC",33.91728,"Ð78.01764","2013-11-21","2013-10-23","FEMALE","YEARLING",34
"785",8704,"Full","SE-2013-1152988","NC",35.117,"Ð75.97065","2013-11-15","2013-10-12","UNKNOWN","",35
"788",8707,"Full","SE-2013-1152991","NC",34.64255,"Ð77.09725","2013-11-22","2013-11-02","MALE","SUBADULT",35
"790",8709,"Full","SE-2013-1154494","GA",30.93746,"Ð81.26574","2013-12-17","2013-11-22","MALE","SUBADULT",31
"792",8715,"Full","NE-2013-1151790","VA",36.63075,"Ð75.89102","2013-10-05","2013-09-09","FEMALE","UNKNOWN",37
"793",8716,"Full","NE-2013-1151791","VA",37.00415,"Ð76.30253","2013-10-05","2013-09-06","MALE","UNKNOWN",37
"794",8717,"Full","SE-2013-1151792","NC",35.889511,"Ð75.682023","2013-10-04","2013-09-09","FEMALE","UNKNOWN",36
"796",8723,"Full","NE-2013-1151121","VA",36.89786,"Ð75.98675","2013-09-19","2013-08-13","UNKNOWN","UNKNOWN",37
"797",8724,"Full","NE-2013-1151122","VA",36.59793,"Ð75.87969","2013-09-19","2013-08-24","FEMALE","UNKNOWN",37
"799",8726,"Full","SE-2013-1151272","SC",33.788817,"Ð78.736983","2013-09-14","2013-08-28","FEMALE","ADULT",34
"801",8728,"Full","SE-2013-1151276","SC",32.5598,"Ð80.17097","2013-09-17","2013-08-29","FEMALE","PUP/CALF",33
"802",8729,"Full","SE-2013-1151277","SC",32.807115,"Ð79.758314","2013-09-12","2013-08-19","MALE","PUP/CALF",33
"803",8730,"Full","NE-2013-1149384","NJ",39.288771,"Ð74.552751","2013-07-24","2013-07-08","MALE","",39
"804",8731,"Full","NE-2013-1149386","NJ",39.650583,"Ð74.171686","2013-07-25","2013-06-26","FEMALE","ADULT",40
"805",8735,"Full","NE-2013-1153138","DE",38.781111,"Ð75.085833","2013-10-11","2013-09-10","MALE","SUBADULT",39
"806",8737,"Full","NE-2013-1153140","DE",38.82806,"Ð75.21194","2013-10-23","2013-09-21","MALE","SUBADULT",39
"807",8738,"Full","NE-2013-1153141","DE",38.818612,"Ð75.201159","2013-11-22","2013-10-16","UNKNOWN","ADULT",39
"808",8739,"Full","SE-2013-1153160","GA",31.95,"Ð80.9","2013-11-29","2013-11-07","UNKNOWN","UNKNOWN",32
"809",8740,"Full","SE-2013-1153161","GA",31.24527,"Ð81.28062","2013-12-03","2013-10-29","FEMALE","SUBADULT",31
"810",8741,"Full","NE-2013-1154538","MD",38.220135,"Ð75.144102","2013-08-26","2013-07-31","FEMALE","YEARLING",38
"811",8742,"Full","NE-2013-1149382","NJ",39.753174,"Ð74.101573","2013-07-22","2013-06-30","MALE","SUBADULT",40
"812",8743,"Full","NE-2013-1149383","NJ",39.500257,"Ð74.30423","2013-06-22","2013-06-02","MALE","ADULT",40
"815",8751,"Full","SE-2013-1150305","NC",35.74252,"Ð75.50339","2013-08-24","2013-08-01","MALE","ADULT",36
"817",8755,"Full","NE-2013-1151124","VA",36.95575,"Ð76.2518","2013-09-19","2013-08-30","FEMALE","UNKNOWN",37
"818",8756,"Full","NE-2013-1151125","VA",37.08874,"Ð76.27096","2013-09-20","2013-08-23","FEMALE","UNKNOWN",37
"819",8758,"Full","SE-2013-1151127","NC",35.22906,"Ð75.62303","2013-09-19","2013-08-27","MALE","SUBADULT",35
"820",8760,"Full","NE-2013-1152024","NJ",39.088953,"Ð74.721021","2013-08-08","2013-07-20","MALE","ADULT",39
"821",8761,"Full","NE-2013-1149388","NJ",39.318657,"Ð74.51396","2013-06-08","2013-05-16","MALE","PUP/CALF",39
"822",8762,"Full","NE-2013-1149390","NJ",40.008139,"Ð74.056946","2013-06-08","2013-05-18","MALE","ADULT",40
"823",8765,"Full","NE-2013-1154540","MD",38.407757,"Ð75.06688","2013-08-27","2013-07-21","MALE","UNKNOWN",38
"824",8766,"Full","NE-2013-1154541","MD",38.2118,"Ð75.1042","2013-08-27","2013-07-31","MALE","UNKNOWN",38
"825",8767,"Full","NE-2013-1154542","MD",38.29414,"Ð75.111012","2013-08-30","2013-07-27","UNKNOWN","UNKNOWN",38
"826",8779,"Full","NE-2013-1148798","VA",37.0048,"Ð76.3023","2013-06-06","2013-04-30","FEMALE","UNKNOWN",37
"827",8780,"Full","NE-2013-1148799","VA",37.81988,"Ð75.74326","2013-06-12","2013-05-09","MALE","UNKNOWN",38
"828",8787,"Full","NE-2013-1149385","NJ",39.532531,"Ð74.261084","2013-06-24","2013-06-05","MALE","PUP/CALF",40
"830",8789,"Full","SE-2013-1154619","GA",31.72251,"Ð81.14066","2013-12-07","2013-11-11","FEMALE","ADULT",32
"832",8791,"Full","NE-2013-1154624","VA",37.43966,"Ð75.66751","2013-12-21","2013-11-22","UNKNOWN","UNKNOWN",37
"833",8803,"Full","NE-2013-1149379","NJ",38.978864,"Ð74.807193","2013-07-18","2013-06-29","FEMALE","ADULT",39
"834",8804,"Full","NE-2013-1149375","NJ",39.167472,"Ð74.680935","2013-07-17","2013-06-26","MALE","SUBADULT",39
"835",8805,"Full","SE-2013-1148568","NC",34.664886,"Ð76.587702","2013-06-02","2013-05-12","MALE","SUBADULT",35
"836",8809,"Full","NE-2013-1148576","NJ",40.384256,"Ð74.018561","2013-04-11","2013-03-07","UNKNOWN","SUBADULT",40
"837",8810,"Full","NE-2013-1149392","NJ",39.337517,"Ð74.473618","2013-05-24","2013-05-09","FEMALE","ADULT",39
"839",8813,"Full","NE-2013-1149395","MD",38.416728,"Ð75.052046","2013-07-28","2013-07-09","MALE","ADULT",38
"840",8815,"Full","SE-2013-1154608","GA",30.80563,"Ð81.4414","2013-12-06","2013-11-12","MALE","ADULT",31
"841",8819,"Full","SE-2013-1148149","NC",35.54657,"Ð75.47331","2013-05-02","2013-04-03","MALE","YEARLING",36
"842",8824,"Full","SE-2013-1148203","GA",32.00395,"Ð80.86083","2013-04-26","2013-04-07","FEMALE","SUBADULT",32
"843",8826,"Full","NE-2013-1149374","NJ",40.025788,"Ð74.052573","2013-07-16","2013-06-17","FEMALE","",40
"844",8828,"Full","NE-2013-1148801","VA",37.48633,"Ð75.96162","2013-06-14","2013-05-07","MALE","UNKNOWN",37
