,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
8161,Full,SE-2013-1150325,NC,34.89714,Ð76.25726,2013-08-28,2013-08-10,MALE,SUBADULT
8162,Full,SE-2013-1151873,NC,35.92773,Ð7572349,2013-10-13,2013-09-17,MALE,YEARLING
8163,Full,SE-2013-1151874,NC,35.91854,Ð75.60081,2013-10-14,2013-09-24,UNKNOWN,UNKNOWN
8165,Full,NE-2013-1151882,NJ,39.581009,Ð74.22223,2013-09-20,2013-08-18,MALE,ADULT
8166,Full,NE-2013-1151883,NJ,39.708083,Ð74.130969,2013-09-23,2013-09-02,MALE,ADULT
8167,Full,NE-2013-1151884,NJ,39.034671,Ð74.768842,2013-09-27,2013-08-26,MALE,PUP/CALF
8168,Full,SE-2013-1151887,NC,36.356201,Ð75.818497,2013-10-15,2013-09-16,UNKNOWN,ADULT
8169,Full,NE-2013-1151888,VA,36.57605,Ð75.873405,2013-10-10,2013-09-04,UNKNOWN,UNKNOWN
8180,Full,SE-2013-1147881,NC,34.43646,Ð77.52533,2013-04-10,2013-03-14,FEMALE,
8181,Full,NE-2013-1151823,NJ,39.329049,Ð74.493836,2013-08-01,2013-07-06,UNKNOWN,SUBADULT
8182,Full,NE-2013-1151824,NJ,39.341393,Ð74.518146,2013-08-19,2013-08-01,MALE,ADULT
8183,Full,SE-2013-1150773,NC,35.78038,Ð75.54411,2013-09-07,2013-08-19,MALE,YEARLING
8184,Full,NE-2013-1150774,VA,37.05025,Ð76.28574,2013-09-10,2013-08-11,MALE,UNKNOWN
8185,Full,NE-2013-1150775,VA,37.90853,Ð75.32959,2013-09-10,2013-08-03,UNKNOWN,UNKNOWN
8186,Full,NE-2013-1150776,VA,36.74743,Ð75.94343,2013-09-10,2013-08-03,UNKNOWN,UNKNOWN
8187,Full,NE-2013-1150777,VA,36.8294,Ð75.9695,2013-09-10,2013-08-16,FEMALE,UNKNOWN
8189,Full,NE-2013-1150779,DE,38.488582,Ð75.050751,2013-08-31,2013-07-22,MALE,SUBADULT
8191,Full,NE-2013-1150781,DE,38.690329,Ð75.078504,2013-09-10,2013-08-20,MALE,SUBADULT
8195,Full,SE-2014-1155002,NC,36.327939,Ð75.809492,2014-01-18,2013-12-30,MALE,ADULT
8197,Full,SE-2014-1155004,NC,34.63609,Ð77.12731,2014-01-19,2013-12-21,MALE,SUBADULT
8198,Full,NE-2013-1150081,VA,36.92853,Ð76.17011,2013-08-18,2013-07-11,MALE,UNKNOWN
8199,Full,NE-2013-1150082,VA,36.9286,Ð76.04378,2013-08-18,2013-07-09,MALE,UNKNOWN
8200,Full,NE-2013-1150083,VA,36.76091,Ð75.94891,2013-08-18,2013-07-23,UNKNOWN,UNKNOWN
8201,Full,NE-2013-1150084,VA,36.95558,Ð76.25156,2013-08-18,2013-07-10,UNKNOWN,UNKNOWN
8202,Full,NE-2013-1150085,VA,36.844343,Ð75.969042,2013-08-19,2013-08-02,FEMALE,UNKNOWN
8203,Full,NE-2013-1150086,VA,36.91281,Ð76.07946,2013-08-19,2013-07-22,MALE,UNKNOWN
8205,Full,NE-2013-1150088,VA,36.93722,Ð76.21547,2013-08-20,2013-07-27,MALE,UNKNOWN
8216,Full,SE-2013-1149748,NC,36.15335,Ð75.73811,2013-08-06,2013-07-15,FEMALE,PUP/CALF
8217,Full,SE-2013-1149750,NC,36.241788,Ð75.777483,2013-08-14,2013-07-28,MALE,ADULT
8222,Full,NE-2013-1150330,MD,38.256037,Ð75.12762,2013-08-07,2013-07-09,UNKNOWN,UNKNOWN
8223,Full,NE-2013-1150353,MD,38.387973,Ð75.067586,2013-08-23,2013-07-24,UNKNOWN,ADULT
8224,Full,SE-2013-1151896,NC,33.880775,Ð77.99877,2013-10-16,2013-09-25,UNKNOWN,
8229,Full,NE-2013-1151826,NJ,40.365204,Ð73.972158,2013-08-21,2013-07-15,FEMALE,ADULT
8230,Full,NE-2013-1151827,NJ,40.107874,Ð74.047532,2013-08-25,2013-07-25,UNKNOWN,SUBADULT
8231,Full,NE-2013-1151828,NJ,39.562688,Ð74.235058,2013-09-20,2013-08-30,MALE,PUP/CALF
8232,Full,NE-2013-1151829,VA,36.936369,Ð76.21347,2013-10-09,2013-09-23,MALE,UNKNOWN
8233,Full,NE-2013-1151879,VA,36.76275,Ð75.94979,2013-10-15,2013-09-16,UNKNOWN,UNKNOWN
8234,Full,SE-2013-1151837,NC,36.103146,Ð75.712257,2013-10-11,2013-09-24,FEMALE,YEARLING
8235,Full,NE-2013-1151878,VA,37.43448,Ð76.25288,2013-10-12,2013-09-07,UNKNOWN,UNKNOWN
8236,Full,NE-2013-1151881,VA,36.590556,Ð75.876443,2013-10-11,2013-09-20,FEMALE,UNKNOWN
8237,Full,NE-2013-1150230,VA,36.929759,Ð76.010964,2013-08-24,2013-07-23,MALE,UNKNOWN
8238,Full,NE-2013-1150231,VA,36.708974,Ð75.929202,2013-08-24,2013-07-29,FEMALE,UNKNOWN
8239,Full,NE-2013-1150448,VA,37.0825,Ð76.27444,2013-08-24,2013-07-30,MALE,UNKNOWN
8240,Full,NE-2013-1150449,VA,36.68684,Ð75.91973,2013-08-26,2013-07-22,MALE,UNKNOWN
8241,Full,SE-2013-1150450,NC,36.143858,Ð75.73378,2013-08-30,2013-07-27,UNKNOWN,UNKNOWN
8242,Full,NE-2013-1150451,VA,36.660254,Ð75.90492,2013-08-25,2013-08-09,FEMALE,UNKNOWN
8243,Full,SE-2013-1150785,NC,35.13214,Ð75.90257,2013-09-10,2013-08-05,UNKNOWN,ADULT
8246,Full,NE-2013-1155225,NY,40.5833,Ð73.6874,2013-07-27,2013-07-02,MALE,ADULT
8252,Full,NE-2013-1150564,VA,36.6487,Ð75.89855,2013-09-04,2013-08-14,FEMALE,UNKNOWN
8253,Full,NE-2013-1150565,VA,36.8781,Ð75.98141,2013-09-05,2013-07-30,MALE,UNKNOWN
8254,Full,NE-2013-1150566,VA,37.8262,Ð75.9916,2013-07-17,2013-06-16,UNKNOWN,UNKNOWN
8255,Full,NE-2013-1150567,MD,38.930665,Ð76.316106,2013-08-15,2013-07-12,MALE,SUBADULT
8256,Full,NE-2013-1150572,MD,38.1362,Ð75.1761,2013-08-15,2013-07-20,FEMALE,ADULT
8257,Full,NE-2013-1150602,MD,38.151819,Ð75.169164,2013-08-15,2013-07-27,FEMALE,ADULT
8259,Full,SE-2013-1152043,NC,35.461944,Ð76.421944,2013-10-22,2013-10-01,MALE,ADULT
8260,Full,SE-2013-1152044,NC,34.88756,Ð76.33006,2013-10-22,2013-09-23,MALE,ADULT
8263,Full,SE-2013-1154617,GA,31.13686,Ð81.38237,2013-12-08,2013-11-12,FEMALE,SUBADULT
8264,Full,SE-2014-1157822,NC,34.90693,Ð76.66579,2014-06-19,2014-05-24,MALE,
8267,Full,NE-2013-1149628,VA,37.59682,Ð75.6153,2013-08-07,2013-07-18,MALE,UNKNOWN
8268,Full,NE-2013-1149629,VA,37.579671,Ð75.936137,2013-08-05,2013-07-07,UNKNOWN,UNKNOWN
8269,Full,NE-2013-1149630,VA,37.31837,Ð76.0182,2013-08-05,2013-07-10,FEMALE,UNKNOWN
8270,Full,NE-2013-1149652,VA,36.92658,Ð76.00372,2013-08-05,2013-07-10,MALE,UNKNOWN
8280,Full,NE-2013-1150678,NY,40.5847,Ð73.7221,2013-08-08,2013-07-25,MALE,ADULT
8285,Full,NE-2013-1151909,VA,36.646917,Ð75.898717,2013-10-16,2013-09-21,FEMALE,UNKNOWN
8286,Full,NE-2013-1151910,VA,36.75354,Ð75.94594,2013-10-13,2013-09-18,MALE,UNKNOWN
8287,Full,NE-2013-1151911,VA,36.65234,Ð75.90152,2013-10-20,2013-09-16,UNKNOWN,UNKNOWN
8291,Full,NE-2013-1151915,DE,38.504117,Ð75.051667,2013-09-08,2013-08-13,FEMALE,SUBADULT
8295,Full,NE-2013-1150454,VA,36.99986,Ð76.36848,2013-08-25,2013-07-21,FEMALE,UNKNOWN
8301,Full,NE-2013-1155227,NY,40.5726,Ð73.849,2013-07-29,2013-07-05,MALE,ADULT
8303,Full,NE-2013-1155229,NY,40.5829,Ð73.6559,2013-07-29,2013-07-02,MALE,SUBADULT
8305,Full,NE-2013-1155231,NY,40.5617,Ð73.9255,2013-07-30,2013-07-07,FEMALE,ADULT
8306,Full,NE-2013-1155232,NY,40.6317,Ð73.24,2013-07-30,2013-07-06,MALE,ADULT
8310,Full,NE-2013-1150603,MD,38.281655,Ð75.116681,2013-08-26,2013-08-01,MALE,YEARLING
8312,Full,NE-2013-1152078,VA,36.92845,Ð76.0458,2013-10-25,2013-10-02,MALE,UNKNOWN
8314,Full,NE-2013-1152080,NJ,38.958095,Ð74.843686,2013-08-29,2013-08-10,MALE,SUBADULT
